iter	RMSE
0	3748.311958
1	3522.62871
2	3311.654514
3	3123.122731
4	2944.693242
5	2778.853462
6	2632.478245
7	2493.250811
8	2364.347223
9	2246.503897
10	2135.508954
11	2038.917557
12	1948.571809
13	1865.759815
14	1787.223057
15	1712.885808
16	1650.165434
17	1589.822682
18	1531.903358
19	1475.093615
20	1427.735888
21	1382.369309
22	1341.640144
23	1302.870353
24	1267.616464
25	1236.334356
26	1206.617
27	1178.331144
28	1148.531759
29	1123.371652
30	1100.83563
31	1074.297197
32	1049.583835
33	1032.444214
34	1014.368526
35	998.7937442
36	982.041469
37	968.994423
38	950.9707453
39	939.8613748
40	926.0148854
41	915.9830062
42	903.51995
43	893.0440895
44	879.2344244
45	867.6583079
46	858.2695281
47	848.625181
48	839.2704603
49	831.7546231
50	825.5770337
51	818.5371261
52	810.6764553
53	802.5228047
54	793.2055998
55	787.6432282
56	781.2830477
57	775.0052909
58	769.8835196
59	764.9213785
60	759.8850842
61	753.9212192
62	749.5949991
63	745.6020723
64	739.6846655
65	736.2263267
66	731.5784842
67	727.0561115
68	722.2232724
69	718.5188503
70	715.5734491
71	712.5587953
72	709.8443197
73	704.6897966
74	701.9652996
75	697.5134018
76	694.7213921
77	692.1864189
78	689.2974124
79	687.1964517
80	684.7553479
81	682.0236592
82	676.7333149
83	674.3746087
84	671.8562251
85	667.6867233
86	666.0422548
87	664.0376203
88	662.3005141
89	660.7494864
90	658.9219313
91	657.195683
92	654.8521823
93	652.67155
94	649.025738
95	647.1918978
96	645.2757704
97	643.8088394
98	641.120642
99	640.0186821
100	639.0290301
101	637.5439933
102	636.0129931
103	634.7224344
104	633.9511916
105	632.4830062
106	631.3109261
107	628.7618046
108	627.4988992
109	626.9259123
110	625.7133909
111	622.7514636
112	621.4594057
113	620.7347783
114	619.6612828
115	618.4072881
116	616.8806156
117	615.9203934
118	615.0272589
119	613.7476002
120	612.635058
121	611.5760156
122	609.7555439
123	608.5379205
124	606.4660963
125	605.3893894
126	604.6027124
127	603.4160086
128	602.8205246
129	602.139728
130	601.5435363
131	600.8750705
132	599.9835484
133	599.3558244
134	598.445215
135	597.2142981
136	596.2180076
137	595.4682732
138	594.6843306
139	593.9524931
140	593.3068419
141	592.2176443
142	591.5521979
143	590.7566212
144	590.1644458
145	589.3759868
146	588.1835348
147	587.7620274
148	586.831723
149	586.251245
150	585.2332832
151	584.5686498
152	583.8706862
153	583.1398594
154	581.7863251
155	581.1445378
156	580.4131438
157	579.8162816
158	579.0103736
159	578.1361129
160	577.7869134
161	576.652496
162	576.1164832
163	575.2345359
164	574.3972043
165	573.6593039
166	573.2525134
167	572.8573051
168	572.487978
169	572.0175413
170	571.3221205
171	570.8330996
172	570.2253729
173	569.3791787
174	568.9511419
175	568.362397
176	567.9993099
177	567.5451836
178	566.9182588
179	566.4679934
180	565.9008835
181	565.4733502
182	564.6787199
183	563.9844514
184	563.754621
185	563.2836371
186	562.8378843
187	562.5334663
188	562.1276641
189	561.5919765
190	561.1762633
191	560.7818388
192	560.4573169
193	559.7504203
194	559.3887163
195	558.7777353
196	558.0490966
197	557.4970266
198	557.2956797
199	557.0003362
200	556.7422354
201	556.4711505
202	556.0553904
203	555.6986049
204	555.3217107
205	554.9122089
206	554.2702572
207	553.803878
208	553.7415723
209	553.4811406
210	553.1118263
211	552.5389999
212	552.1311045
213	551.6709528
214	551.5813782
215	551.4364925
216	551.1525765
217	550.8742758
218	550.7306992
219	550.3018892
220	549.9321311
221	549.580899
222	549.2681165
223	549.214072
224	548.8744612
225	548.7193354
226	548.428145
227	548.0683935
228	547.6947514
229	547.1678335
230	546.8021822
231	546.4517896
232	546.1531917
233	546.104767
234	545.7479064
235	545.2031689
236	544.7790687
237	544.4644621
238	544.4187849
239	543.9439389
240	543.8776307
241	543.8396725
242	543.5372933
243	542.5958435
244	542.5605707
245	542.5249121
246	542.3745029
247	542.2733823
248	541.839527
249	541.6246633
250	541.4009213
251	541.2618296
252	540.969134
253	540.845857
254	540.4841909
255	540.1703891
256	539.9285686
257	539.6771536
258	539.3789639
259	539.1021465
260	538.8113099
261	538.6386994
262	538.4312463
263	538.0021568
264	537.7312387
265	537.5452847
266	537.224075
267	537.0206307
268	536.8702776
269	536.7466577
270	536.606733
271	536.3377973
272	536.0847701
273	535.8587151
274	535.5628205
275	535.3479248
276	535.0734089
277	534.3929546
278	534.1960789
279	533.8018281
280	533.5228966
281	533.3592394
282	533.2499342
283	532.8404168
284	532.6964602
285	532.5024892
286	531.9349492
287	531.6100834
288	531.1619849
289	530.9704974
290	530.6827698
291	530.5718298
292	530.1940098
293	529.8311046
294	529.5380428
295	529.1443597
296	528.9070273
297	528.6229975
298	528.3637418
299	528.1489623
300	527.918106
301	527.8014352
302	527.6762176
303	527.4073295
304	527.1710991
305	526.8668994
306	526.7210627
307	526.5268413
308	526.2970481
309	526.091717
310	525.810834
311	525.6799148
312	525.3862355
313	525.2833471
314	525.045118
315	524.8099185
316	524.6632436
317	524.444437
318	524.1818078
319	524.0783924
320	523.9090513
321	523.7861272
322	523.4320551
323	523.2560159
324	522.9337552
325	522.7942896
326	522.5543597
327	522.4299776
328	522.3584947
329	522.165698
330	521.9620214
331	521.877006
332	521.8120147
333	521.7260373
334	521.5780477
335	521.5221772
336	521.3273586
337	521.276111
338	521.0126166
339	520.9352953
340	520.8492846
341	520.6931141
342	520.6488522
343	520.5557332
344	520.4598517
