iter	Passed	Remaining
0	3	3120
1	6	3055
2	8	2902
3	11	2784
4	14	2807
5	16	2724
6	18	2658
7	20	2585
8	23	2549
9	25	2518
10	27	2493
11	30	2483
12	32	2452
13	34	2434
14	36	2425
15	39	2408
16	41	2388
17	43	2375
18	45	2362
19	47	2351
20	50	2336
21	52	2327
22	54	2323
23	56	2308
24	58	2295
25	61	2294
26	63	2284
27	65	2276
28	67	2269
29	69	2262
30	72	2258
31	74	2248
32	76	2246
33	78	2237
34	80	2227
35	83	2223
36	85	2221
37	87	2215
38	89	2208
39	91	2206
40	94	2206
41	96	2198
42	98	2193
43	100	2188
44	102	2181
45	104	2177
46	107	2176
47	109	2170
48	111	2167
49	113	2163
50	116	2162
51	118	2155
52	120	2149
53	122	2149
54	124	2145
55	126	2139
56	128	2132
57	131	2132
58	133	2128
59	135	2124
60	137	2120
61	139	2117
62	142	2113
63	144	2110
64	146	2109
65	148	2106
66	150	2101
67	153	2098
68	155	2094
69	157	2089
70	159	2085
71	161	2081
72	163	2077
73	165	2074
74	167	2070
75	170	2067
76	172	2063
77	174	2058
78	176	2055
79	178	2051
80	180	2045
81	182	2042
82	185	2045
83	188	2057
84	191	2065
85	194	2070
86	197	2072
87	200	2076
88	203	2078
89	206	2090
90	211	2116
91	214	2120
92	221	2163
93	224	2160
94	226	2154
95	228	2150
96	230	2145
97	232	2142
98	235	2141
99	239	2152
100	241	2152
101	244	2149
102	246	2145
103	248	2141
104	250	2135
105	252	2131
106	254	2127
107	257	2123
108	259	2119
109	261	2114
110	263	2108
111	265	2104
112	267	2099
113	269	2093
114	271	2088
115	273	2082
116	275	2076
117	277	2071
118	279	2067
119	281	2063
120	283	2059
121	285	2056
122	287	2052
123	289	2046
124	291	2042
125	293	2037
126	295	2032
127	297	2028
128	299	2023
129	301	2019
130	303	2014
131	305	2009
132	307	2006
133	309	2002
134	311	1998
135	313	1993
136	315	1989
137	317	1985
138	319	1980
139	321	1975
140	323	1971
141	325	1967
142	327	1963
143	329	1959
144	331	1955
145	333	1951
146	335	1946
147	337	1942
148	339	1938
149	341	1934
150	343	1929
151	345	1925
152	347	1921
153	349	1917
154	350	1913
155	352	1908
156	355	1906
157	357	1902
158	358	1898
159	360	1895
160	363	1891
161	365	1888
162	366	1884
163	368	1880
164	370	1876
165	372	1873
166	374	1869
167	377	1869
168	380	1869
169	382	1866
170	384	1863
171	386	1861
172	389	1859
173	391	1857
174	393	1856
175	396	1854
176	398	1851
177	400	1848
178	402	1847
179	405	1845
180	407	1842
181	409	1841
182	411	1838
183	414	1837
184	416	1835
185	418	1832
186	421	1831
187	424	1831
188	427	1836
189	431	1838
190	436	1850
191	439	1850
192	441	1847
193	443	1843
194	446	1841
195	448	1840
196	450	1837
197	453	1837
198	457	1839
199	459	1836
200	460	1832
201	462	1828
202	464	1824
203	466	1821
204	469	1819
205	471	1819
206	474	1818
207	477	1817
208	479	1815
209	482	1813
210	484	1812
211	487	1813
212	490	1811
213	492	1810
214	495	1808
215	497	1806
216	500	1804
217	502	1803
218	506	1807
219	510	1808
220	512	1807
221	515	1805
222	517	1804
223	520	1802
224	522	1801
225	525	1799
226	527	1797
227	530	1796
228	533	1794
229	535	1792
230	537	1790
231	541	1791
232	544	1792
233	547	1790
234	549	1788
235	551	1786
236	554	1784
237	556	1782
238	558	1779
239	561	1777
240	563	1774
241	565	1771
242	568	1769
243	570	1768
244	573	1765
245	575	1762
246	577	1760
247	579	1758
248	582	1756
249	584	1754
250	588	1756
251	592	1758
252	595	1757
253	597	1754
254	599	1752
255	602	1751
256	606	1753
257	609	1753
258	612	1751
259	614	1750
260	617	1748
261	620	1747
262	622	1744
263	625	1744
264	628	1743
265	631	1741
266	633	1740
267	636	1738
268	639	1736
269	641	1734
270	644	1732
271	646	1730
272	648	1727
273	651	1724
274	653	1722
275	655	1720
276	658	1718
277	660	1716
278	663	1714
279	665	1711
280	667	1708
